event_id,event_frequency,cell_id,turbine_id,failure_mode,p_failure,windspeed_ms,failure_cause,component,repair_time_hr,materials_usd,service_equipment,operation_reduction,is_unscheduled
676,0.041666666666666664,53,C53_T004,pitch_extremewind_typhoon,0.01,30.060547444194484,typhoon,pitch_system,24,40000,CTV,0.5,1
372,0.041666666666666664,53,C53_T008,pitch_extremewind_typhoon,0.01,33.65220551252948,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,53,C53_T010,pitch_extremewind_typhoon,0.01,30.060547444194484,typhoon,pitch_system,24,40000,CTV,0.5,1
384,0.041666666666666664,53,C53_T017,blade_major_typhoon,0.01,35.11622905968827,typhoon,blade,120,350000,DSV,1.0,1
384,0.041666666666666664,53,C53_T025,pitch_extremewind_typhoon,0.01,35.11622905968827,typhoon,pitch_system,24,40000,CTV,0.5,1
384,0.041666666666666664,53,C53_T026,pitch_extremewind_typhoon,0.01,35.11622905968827,typhoon,pitch_system,24,40000,CTV,0.5,1
384,0.041666666666666664,53,C53_T032,pitch_extremewind_typhoon,0.01,35.11622905968827,typhoon,pitch_system,24,40000,CTV,0.5,1
391,0.041666666666666664,53,C53_T034,blade_major_typhoon,0.01,35.843974460561554,typhoon,blade,120,350000,DSV,1.0,1
391,0.041666666666666664,53,C53_T047,blade_major_typhoon,0.01,35.843974460561554,typhoon,blade,120,350000,DSV,1.0,1
676,0.041666666666666664,53,C53_T051,pitch_extremewind_typhoon,0.01,30.060547444194484,typhoon,pitch_system,24,40000,CTV,0.5,1
384,0.041666666666666664,53,C53_T055,pitch_extremewind_typhoon,0.01,35.11622905968827,typhoon,pitch_system,24,40000,CTV,0.5,1
79,0.041666666666666664,53,C53_T070,blade_major_typhoon,0.01,43.426200151480764,typhoon,blade,120,350000,DSV,1.0,1
384,0.041666666666666664,53,C53_T076,blade_major_typhoon,0.01,35.11622905968827,typhoon,blade,120,350000,DSV,1.0,1
391,0.041666666666666664,53,C53_T093,blade_major_typhoon,0.01,35.843974460561554,typhoon,blade,120,350000,DSV,1.0,1
391,0.041666666666666664,53,C53_T129,pitch_extremewind_typhoon,0.01,35.843974460561554,typhoon,pitch_system,24,40000,CTV,0.5,1
384,0.041666666666666664,53,C53_T160,blade_major_typhoon,0.01,35.11622905968827,typhoon,blade,120,350000,DSV,1.0,1
676,0.041666666666666664,54,C54_T072,pitch_extremewind_typhoon,0.01,31.05108130355287,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,54,C54_T148,pitch_extremewind_typhoon,0.01,31.05108130355287,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,55,C55_T022,pitch_extremewind_typhoon,0.01,34.64928920308667,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,55,C55_T067,pitch_extremewind_typhoon,0.01,34.64928920308667,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,55,C55_T068,pitch_extremewind_typhoon,0.01,34.64928920308667,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,55,C55_T114,pitch_extremewind_typhoon,0.01,34.64928920308667,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,56,C56_T005,blade_major_typhoon,0.01,38.49090360603984,typhoon,blade,120,350000,DSV,1.0,1
676,0.041666666666666664,56,C56_T033,blade_major_typhoon,0.01,38.49090360603984,typhoon,blade,120,350000,DSV,1.0,1
676,0.041666666666666664,56,C56_T067,blade_major_typhoon,0.01,38.49090360603984,typhoon,blade,120,350000,DSV,1.0,1
676,0.041666666666666664,56,C56_T109,pitch_extremewind_typhoon,0.01,38.49090360603984,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,56,C56_T111,pitch_extremewind_typhoon,0.01,38.49090360603984,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,56,C56_T127,blade_major_typhoon,0.01,38.49090360603984,typhoon,blade,120,350000,DSV,1.0,1
676,0.041666666666666664,57,C57_T002,pitch_extremewind_typhoon,0.03,41.9435097430561,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,57,C57_T100,pitch_extremewind_typhoon,0.03,41.9435097430561,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,57,C57_T124,pitch_extremewind_typhoon,0.03,41.9435097430561,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,57,C57_T129,pitch_extremewind_typhoon,0.03,41.9435097430561,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,57,C57_T145,pitch_extremewind_typhoon,0.03,41.9435097430561,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,57,C57_T152,pitch_extremewind_typhoon,0.03,41.9435097430561,typhoon,pitch_system,24,40000,CTV,0.5,1
336,0.041666666666666664,57,C57_T157,pitch_extremewind_typhoon,0.01,30.86861186734464,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,58,C58_T046,pitch_extremewind_typhoon,0.03,44.95170218171091,typhoon,pitch_system,24,40000,CTV,0.5,1
336,0.041666666666666664,58,C58_T066,pitch_extremewind_typhoon,0.01,34.6496057156141,typhoon,pitch_system,24,40000,CTV,0.5,1
336,0.041666666666666664,58,C58_T093,pitch_extremewind_typhoon,0.01,34.6496057156141,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,58,C58_T110,blade_major_typhoon,0.01,44.95170218171091,typhoon,blade,120,350000,DSV,1.0,1
676,0.041666666666666664,59,C59_T003,pitch_extremewind_typhoon,0.03,47.82968018795126,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,59,C59_T010,pitch_extremewind_typhoon,0.03,47.82968018795126,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,59,C59_T022,blade_major_typhoon,0.05,47.82968018795126,typhoon,blade,120,350000,DSV,1.0,1
676,0.041666666666666664,59,C59_T032,blade_major_typhoon,0.05,47.82968018795126,typhoon,blade,120,350000,DSV,1.0,1
336,0.041666666666666664,59,C59_T035,pitch_extremewind_typhoon,0.01,37.39780893375259,typhoon,pitch_system,24,40000,CTV,0.5,1
336,0.041666666666666664,59,C59_T042,pitch_extremewind_typhoon,0.01,37.39780893375259,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,59,C59_T051,pitch_extremewind_typhoon,0.03,47.82968018795126,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,59,C59_T069,pitch_extremewind_typhoon,0.03,47.82968018795126,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,59,C59_T080,blade_major_typhoon,0.05,47.82968018795126,typhoon,blade,120,350000,DSV,1.0,1
676,0.041666666666666664,59,C59_T089,pitch_extremewind_typhoon,0.03,47.82968018795126,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,59,C59_T091,pitch_extremewind_typhoon,0.03,47.82968018795126,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,59,C59_T121,pitch_extremewind_typhoon,0.03,47.82968018795126,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,59,C59_T129,pitch_extremewind_typhoon,0.03,47.82968018795126,typhoon,pitch_system,24,40000,CTV,0.5,1
336,0.041666666666666664,59,C59_T142,pitch_extremewind_typhoon,0.01,37.39780893375259,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,59,C59_T145,pitch_extremewind_typhoon,0.03,47.82968018795126,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,59,C59_T159,blade_major_typhoon,0.05,47.82968018795126,typhoon,blade,120,350000,DSV,1.0,1
676,0.041666666666666664,59,C59_T166,blade_major_typhoon,0.05,47.82968018795126,typhoon,blade,120,350000,DSV,1.0,1
676,0.041666666666666664,59,C59_T173,blade_major_typhoon,0.05,47.82968018795126,typhoon,blade,120,350000,DSV,1.0,1
79,0.041666666666666664,60,C60_T016,pitch_extremewind_typhoon,0.01,30.895734177737705,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,60,C60_T024,blade_major_typhoon,0.05,49.913458148005134,typhoon,blade,120,350000,DSV,1.0,1
676,0.041666666666666664,60,C60_T027,blade_major_typhoon,0.05,49.913458148005134,typhoon,blade,120,350000,DSV,1.0,1
676,0.041666666666666664,60,C60_T027,pitch_extremewind_typhoon,0.03,49.913458148005134,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,60,C60_T031,pitch_extremewind_typhoon,0.03,49.913458148005134,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,60,C60_T046,pitch_extremewind_typhoon,0.03,49.913458148005134,typhoon,pitch_system,24,40000,CTV,0.5,1
676,0.041666666666666664,60,C60_T062,blade_major_typhoon,0.05,49.913458148005134,typhoon,blade,120,350000,DSV,1.0,1
