event_id,event_frequency,cell_id,turbine_id,failure_mode,failure_cause,windspeed_ms,p_failure,component,repair_time_hr,materials_usd,service_equipment,operation_reduction,is_unscheduled
255,0.041666666666666664,78,S00T2,pitch_extremewind_typhoon,typhoon,31.267700754009116,0.01,pitch_system,24.0,40000.0,CTV,0.5,1
79,0.041666666666666664,78,S00T26,blade_major_typhoon,typhoon,35.73937545388292,0.01,blade,120.0,350000.0,DSV,1.0,1
676,0.041666666666666664,78,S00T27,blade_major_typhoon,typhoon,49.98233559658184,0.05,blade,120.0,350000.0,DSV,1.0,1
79,0.041666666666666664,78,S00T29,pitch_extremewind_typhoon,typhoon,35.73937545388292,0.01,pitch_system,24.0,40000.0,CTV,0.5,1
255,0.041666666666666664,78,S00T41,pitch_extremewind_typhoon,typhoon,31.267700754009116,0.01,pitch_system,24.0,40000.0,CTV,0.5,1
676,0.041666666666666664,78,S00T49,pitch_extremewind_typhoon,typhoon,49.98233559658184,0.03,pitch_system,24.0,40000.0,CTV,0.5,1
79,0.041666666666666664,79,S00T14,blade_major_typhoon,typhoon,36.91496764893507,0.01,blade,120.0,350000.0,DSV,1.0,1
676,0.041666666666666664,79,S00T19,pitch_extremewind_typhoon,typhoon,46.56070734991975,0.03,pitch_system,24.0,40000.0,CTV,0.5,1
676,0.041666666666666664,79,S00T27,blade_major_typhoon,typhoon,46.56070734991975,0.05,blade,120.0,350000.0,DSV,1.0,1
676,0.041666666666666664,79,S00T28,pitch_extremewind_typhoon,typhoon,46.56070734991975,0.03,pitch_system,24.0,40000.0,CTV,0.5,1
676,0.041666666666666664,79,S00T45,blade_major_typhoon,typhoon,46.56070734991975,0.05,blade,120.0,350000.0,DSV,1.0,1
305,0.041666666666666664,80,S00T34,pitch_extremewind_typhoon,typhoon,30.9317311338792,0.01,pitch_system,24.0,40000.0,CTV,0.5,1
79,0.041666666666666664,80,S00T37,blade_major_typhoon,typhoon,38.628852991985326,0.01,blade,120.0,350000.0,DSV,1.0,1
676,0.041666666666666664,80,S00T46,pitch_extremewind_typhoon,typhoon,42.467411898275344,0.03,pitch_system,24.0,40000.0,CTV,0.5,1
676,0.041666666666666664,80,S00T6,pitch_extremewind_typhoon,typhoon,42.467411898275344,0.03,pitch_system,24.0,40000.0,CTV,0.5,1
436,0.041666666666666664,84,S00T2,pitch_extremewind_typhoon,typhoon,32.069818105852825,0.01,pitch_system,24.0,40000.0,CTV,0.5,1
676,0.041666666666666664,84,S00T47,pitch_extremewind_typhoon,typhoon,34.177680058568235,0.01,pitch_system,24.0,40000.0,CTV,0.5,1
436,0.041666666666666664,85,S00T13,pitch_extremewind_typhoon,typhoon,33.69523447590311,0.01,pitch_system,24.0,40000.0,CTV,0.5,1
436,0.041666666666666664,86,S00T19,pitch_extremewind_typhoon,typhoon,34.32167262858546,0.01,pitch_system,24.0,40000.0,CTV,0.5,1
436,0.041666666666666664,87,S00T39,pitch_extremewind_typhoon,typhoon,32.85844308589618,0.01,pitch_system,24.0,40000.0,CTV,0.5,1
336,0.041666666666666664,87,S00T44,blade_major_typhoon,typhoon,38.402133130260175,0.01,blade,120.0,350000.0,DSV,1.0,1
676,0.041666666666666664,87,S00T45,blade_major_typhoon,typhoon,40.451788573476286,0.01,blade,120.0,350000.0,DSV,1.0,1
676,0.041666666666666664,87,S00T45,pitch_extremewind_typhoon,typhoon,40.451788573476286,0.03,pitch_system,24.0,40000.0,CTV,0.5,1
336,0.041666666666666664,88,S00T18,pitch_extremewind_typhoon,typhoon,41.59006211797314,0.03,pitch_system,24.0,40000.0,CTV,0.5,1
336,0.041666666666666664,88,S00T24,blade_major_typhoon,typhoon,41.59006211797314,0.01,blade,120.0,350000.0,DSV,1.0,1
436,0.041666666666666664,88,S00T24,pitch_extremewind_typhoon,typhoon,30.218960771201598,0.01,pitch_system,24.0,40000.0,CTV,0.5,1
336,0.041666666666666664,88,S00T26,pitch_extremewind_typhoon,typhoon,41.59006211797314,0.03,pitch_system,24.0,40000.0,CTV,0.5,1
676,0.041666666666666664,88,S00T42,pitch_extremewind_typhoon,typhoon,41.38294132102226,0.03,pitch_system,24.0,40000.0,CTV,0.5,1
336,0.041666666666666664,89,S00T10,pitch_extremewind_typhoon,typhoon,44.097251012407206,0.03,pitch_system,24.0,40000.0,CTV,0.5,1
336,0.041666666666666664,89,S00T12,pitch_extremewind_typhoon,typhoon,44.097251012407206,0.03,pitch_system,24.0,40000.0,CTV,0.5,1
372,0.041666666666666664,90,S00T11,pitch_extremewind_typhoon,typhoon,32.77731503051065,0.01,pitch_system,24.0,40000.0,CTV,0.5,1
676,0.041666666666666664,90,S00T37,blade_major_typhoon,typhoon,43.24305646586952,0.01,blade,120.0,350000.0,DSV,1.0,1
676,0.041666666666666664,90,S00T9,pitch_extremewind_typhoon,typhoon,43.24305646586952,0.03,pitch_system,24.0,40000.0,CTV,0.5,1
372,0.041666666666666664,91,S00T19,pitch_extremewind_typhoon,typhoon,36.216963106464526,0.01,pitch_system,24.0,40000.0,CTV,0.5,1
